Name;Address;Phone;Category
Dekra;Meensesteenweg 356C, 8800 Roeselare;051 26 00 60;Adviesbureaus
Dolci Belloni;Zwaanaardestraat 7a, 9112 Sinaai;03 765 99 21;Adviesbureaus
Xerius Sociaal Verzekeringsfonds;Stationsstraat 61, 2800 Mechelen;078 15 05 52;Adviesbureaus
Xerius Ondernemingsloket;Ilgatlaan 19, 3500 Hasselt;078 48 47 77;Adviesbureaus
Xerius Sociaal Verzekeringsfonds;Vogelzang 1 bus 1, 2300 Turnhout;078 15 05 52;Adviesbureaus
Xerius Sociaal Verzekeringsfonds;Kortrijksesteenweg 302/6, 9000 Gent;078 48 47 77;Adviesbureaus
Expertisebureau Candrix;Valgaërstraat 10, 3724 Vliermaal;null;Adviesbureaus
Xerius Ondernemingsloket;Stationsstraat 31, 2200 Herentals;078 48 47 77;Adviesbureaus
Advieskantoor Verbafim;Elisabethlaan 1, 8400 Oostende;059 50 89 49;Adviesbureaus
Xerius Ondernemingsloket;Brouwersvliet 4 bus 5, 2000 Antwerpen;078 15 25 20;Adviesbureaus
Xerius Kinderbijslagfonds;Brouwersvliet 4, 2000 Antwerpen;078 15 40 25;Adviesbureaus
Elteca;Edegemsestraat 167, 2640 Mortsel;03 440 06 06;Adviesbureaus
Honoré Wim;Cartonstraat 8-10, 8900 Ieper;057 20 83 11;Adviesbureaus
Xerius Sociaal Verzekeringsfonds;Brouwersvliet 4 bus 2, 2000 Antwerpen;078 15 00 15;Adviesbureaus
Adviesgroep Haspengouw;Grote Markt 16, 3800 Sint-Truiden;null;Adviesbureaus
De Wilde & Baele;Gasmeterlaan 191, 9000 Gent;09 225 61 20;Adviesbureaus
WES;Baron Ruzettelaan 33, 8310 Assebroek;050 36 71 36;Adviesbureaus
Test-Aankoop;Hollandstraat 13, 1060 Sint-Gillis;02 542 33 64;Adviesbureaus
GDW Provant;St.-Jobsstraat 21, 2200 Herentals;014 25 76 25;Adviesbureaus
Xerius Sociaal Verzekeringsfonds;Stationsstraat 31, 2200 Herentals;078 15 05 52;Adviesbureaus
Xerius Ondernemingsloket;Kortrijksesteenweg 302/6, 9000 Gent;078 48 47 77;Adviesbureaus
Buro Claerhout;Ghistelstraat 11, 8870 Emelgem;051 30 51 18;Adviesbureaus
GDW. Melanie Blomme;Ernest Claeslaan 81, 8820 Torhout;null;Adviesbureaus
In One;Golden Hopestraat 13, 1620 Drogenbos;02 344 10 80;Adviesbureaus
Copy Office;Plantin en Moretuslei 47, 2018 Antwerpen;0489 15 97 82;Adviesbureaus
SD Worx;Vogelzang 1, 2300 Turnhout;014 33 65 30;Adviesbureaus
Essers E;Molenberg 1, 3990 Peer;011 61 14 24;Adviesbureaus
Xerius Sociaal Verzekeringsfonds;Interleuvenlaan 10, 3001 Heverlee;078 48 47 77;Adviesbureaus
Xerius Ondernemingsloket;Industriestraat 13, 2500 Lier;078 15 05 52;Adviesbureaus
SD Worx;Bisschoppenhoflaan 631-633, 2100 Deurne;03 609 83 50;Adviesbureaus
